target,predicted
ʔu'haw ʔa'ko,ʔu'haw ʔa'ko
hu'aɡ maɡʔa'waj sa wa'laŋ 'baɡaj,hu'aɡ maɡ'ʔawaj sa wa'laŋ 'baɡaj
siɡu'ɾado ʔa'koŋ maɡɾeɾe'tiɾo si'a sa tɾa'baho ni'a,siɡu'ɾado ʔa'koŋ maɡɾeɾe'tiɾo si'a sa tɾa'baho ni'a
toto'ʔo 'baŋ si'am ʔaŋ 'buhaj naŋ 'pusaʔ,toto'ʔo 'baŋ si'am ʔaŋ 'buhaj naŋ 'pusaʔ
'mas 'ɡusto 'koŋ mana'tili 'dito,'mas ɡus'to 'koŋ mana'tili 'dito
maj kabulu'han ba ʔaŋ tu'laŋ ʔi'to 'paɾa sa ʔi'o,maj kabulu'han ba ʔaŋ tu'laŋ ʔi'to 'paɾa sa ʔi'o
'bakit nan'dito ʔa'ko,'bakit nan'dito ʔa'ko
hin'diʔ ko ʔa'lam kuŋ maɡ'kano 'jaŋ da'lawan 'bajk na 'jan,hin'diʔ ko ʔa'lam kuŋ maɡ'kano 'jaŋ dala'wan 'bajk na 'jan
ʔinila'ɡaj ni'a ʔaŋ ka'njaŋ ka'maj sa 'ʔakiŋ ba'likat,ʔini'laɡaj ni'a ʔaŋ ka'njaŋ ka'maj sa 'ʔakiŋ ba'likat
si'a ʔaj ʔumuʔu'poʔ ʔat naɡba'basa naŋ ʔi'saŋ lib'ɾo,si'a ʔaj ʔumu'ʔupoʔ ʔat naɡbaba'sa naŋ ʔi'saŋ lib'ɾo
ʔa'lam ni'a ʔaŋ ka'njaŋ sa'ɾiliŋ kasa'lanan,ʔa'lam ni'a ʔaŋ ka'njaŋ sa'ɾiliŋ kasa'lanan
sa paɡkakata'ʔoŋ ʔi'to hin'diʔ mo matataka'san ʔaŋ pa'ɾusa,sa paɡkakata'ʔoŋ ʔi'to hin'diʔ mo matata'kasan ʔaŋ pa'ɾusa
si'ɾaʔ ʔaŋ pa'nulat,si'ɾaʔ ʔaŋ pa'nulat
'ʔunaŋ 'beses 'koŋ ma'kitaʔ ʔi'toŋ 'hajop,'ʔunaŋ 'beses 'koŋ ma'kita ʔi'toŋ 'hajop
maj ma'ɾamiŋ tɾa'baho sa kom'pjuteɾ na ʔin'dustɾia,maj ma'ɾamiŋ tɾa'baho sa kom'pjuteɾ na ʔin'dustɾia
pu'ede ba ʔa'koŋ ʔumu'iʔ na,pu'ede ba ʔa'koŋ ʔumu'iʔ na
tu'luŋan ni'o ka'mi,tu'luŋan ni'o ka'mi
humi'ŋiʔ si'a naŋ paɡ'kaʔin,humi'ŋiʔ si'a naŋ paɡ'kaʔin
pa'sok sa 'kot͡ʃe,pa'sok sa 'kot͡ʃe
hu'aɡ moŋ paɡlaɾu'ʔan ʔaŋ sala'min,hu'aɡ moŋ paɡlaɾu'ʔan ʔaŋ sala'min
naɡlala'ɾoʔ si'la naŋ 'dama,naɡlala'ɾoʔ si'la naŋ da'ma
sasa'mahan ka 'namin haŋ'ɡaŋ sa hu'li,sasama'han ka 'namin haŋ'ɡaŋ sa hu'li
wa'laŋ la'man ʔaŋ 'lata,wa'laŋ la'man ʔaŋ 'lata
muk'haŋ ʔa'lam naŋ kan'jaŋ sekɾe'taɾja ʔaŋ 'lihim,muk'haŋ ʔa'lam naŋ ka'njaŋ sekɾe'taɾja ʔaŋ 'lihim
maɡan'daŋ 'ʔaɾaw ʔi'kaw ba si 'ʃeɾlok 'holms,maɡan'daŋ 'ʔaɾaw ʔi'kaw ba si 'ʃeɾlak 'holmes
si to'mas ʔat ʔaŋ 'lola ni'a ʔaj naɡpun'taŋ 'bukstoɾ,si to'mas ʔat ʔaŋ 'lola ni'a ʔaj naɡ'puntaŋ buks'toɾ
'sino ʔaŋ 'tataj mo,'sino ʔaŋ 'tataj mo
pa'ʔano ka naka'pasok sa 'kwaɾto,pa'ʔano ka naka'pasok sa 'kwaɾto
hin'diʔ ka makakaʔa'lis 'dito,hin'diʔ ka makakaʔa'lis 'dito
kuŋ maŋiŋi'baŋban'sa ka kaʔi'laŋan mo naŋ pasa'poɾte,kuŋ maˌŋiŋi'baŋban'sa ka kaʔi'laŋan mo naŋ pasa'poɾte
maɡpapala'ki ʔa'ko naŋ ma'ɾamiŋ 'punoʔ 'ɾito,maɡpapala'ki ʔa'ko naŋ ma'ɾamiŋ 'punoʔ 'ɾito
kaʔi'lan ʔaŋ pinakahu'li moŋ paki'niɡ sa kan'taŋ ʔi'to,kaʔi'lan ʔaŋ pinaka'huli moŋ paki'niɡ sa kan'taŋ ʔi'to
pa'laɡiʔ si'aŋ mapaɡbi'ɡaj sa ma'ŋa naŋaŋaʔi'laŋan,pa'laɡiʔ si'jaŋ mapaɡbi'ɡaj sa ma'ŋa naŋaŋaʔi'laŋan
sa ti'ŋin ko hin'diʔ pa ʔa'ko han'daʔ,sa ti'ŋin ko hin'diʔ pa ʔa'ko han'daʔ
ki'naʔin ni'laŋ dala'wa ʔaŋ kani'laŋ ma'ŋa t͡ʃoko'late haŋ'ɡaŋ sa kahu'lihu'liŋ pi'ɾaso,ki'naʔin ni'laŋ dala'wa ʔaŋ ka'nilaŋ ma'ŋa t͡ʃoko'late haŋ'ɡaŋ sa kahulihu'liŋ pi'ɾaso
daɾa'tiŋ sa 'tamaŋ 'ʔoɾas ʔaŋ 'tɾen,daɾa'tiŋ sa 'tamaŋ 'ʔoɾas ʔaŋ 'tɾen
maɡsi'piljo paɡka'tapos ku'maʔin,maɡsi'piljo paɡka'tapos ku'maʔin
hin'diʔ ʔa'ko ma'damot,hin'diʔ ʔa'ko ma'damot
ʔaŋ ʔaɾ'tista ʔaj pa'laɡiŋ naɡsusu'ʔot naŋ mamaha'liŋ ma'ŋa ʔa'lahas,ʔaŋ ʔaɾ'tista ʔaj pa'laɡiŋ naɡsusu'ʔot naŋ mama'haliŋ ma'ŋa ʔa'lahas
ʔaŋ 'tunaj na kali'kasan naŋ pla'netaŋ 'ʔalfa sen'tawɾi 'bi'bi ʔaj mahi'waɡaʔ pa,ʔaŋ 'tunaj na kali'kasan naŋ pla'netaŋ 'ʔalfa sen'tawɾi 'bibi ʔaj mahi'waɡaʔ pa
naˌkaka'siɾaʔ naŋ ʔa'tiŋ ti'eɾa ʔaŋ polus'jon,naˌkaka'siɾaʔ naŋ ʔa'tiŋ ti'eɾa ʔaŋ polus'jon
hin'diʔ ʔa'ko tu'tuloŋ,hin'diʔ ʔa'ko tu'tuloŋ
hinihi'liŋ 'koŋ maɡkaɾo'ʔon ka naŋ ʔi'saŋ mali'ɡajaŋ kaʔaɾa'wan,hinihi'liŋ 'koŋ maɡkaɾo'ʔon ka naŋ ʔi'saŋ mali'ɡajaŋ kaʔaɾa'wan
pa'ɡod na pa'ɡod si 'tom paɡʔu'iʔ ni'a,pa'ɡod na pa'ɡod si 'tom paɡʔu'iʔ ni'a
sa'ɾili 'laŋ 'nja ʔini'ʔisip 'nja,sa'ɾili 'laŋ 'nja ʔini'ʔisip 'nja
maʔiʔi'salin mo ba ʔi'to sa pɾan'ses,maʔiʔi'salin mo ba ʔi'to sa pɾan'ses
ʔaŋ ha'wajan ʔat ta'hitjan ʔaj maɡkaha'wiɡ na 'wikaʔ,ʔaŋ ha'vajan ʔat tahi'tiʔan ʔaj maɡkaha'wiɡ na 'wikaʔ
ʔaŋ la'hat naŋ ban'saʔ ʔaj maj kanikani'laŋ 'wikaʔ,ʔaŋ la'hat naŋ ban'saʔ ʔaj maj kanikani'laŋ 'wikaʔ
tumatak'bo ka,tumatak'bo ka
hin'diʔ ko si'nabiŋ tutu'luŋan ki'ta,hin'diʔ ko si'nabiŋ tutu'luŋan ki'ta
ɡa'lit ka ba sa 'ʔakin,ɡa'lit ka ba sa 'ʔakin
paba'likba'lik ʔaŋ ʔu'lan,paba'likba'lik ʔaŋ ʔu'lan
ki'naʔin ko ʔaŋ ma'ŋa man'sanas na 'beɾde,ki'naʔin ko ʔaŋ ma'ŋa man'sanas na 'beɾde
ma'ɾunoŋ ka 'ɾiŋ maɡsali'taʔ naŋ 'wikaŋ pɾan'ses,ma'ɾunoŋ ka 'ɾiŋ maɡsali'taʔ naŋ 'wikaŋ pɾan'ses
ʔaŋ ʔiŋ'ɡles ʔaj hin'diʔ 'ʔakiŋ katu'tuboŋ 'wikaʔ,ʔaŋ ʔiŋ'ɡles ʔaj hin'diʔ 'ʔakiŋ katu'tuboŋ 'wikaʔ
biɡ'laŋ ʔumi'ak ʔaŋ da'ɡaŋ ʔa'kalaj 'ʔaso,biɡ'laŋ ʔumi'ak ʔaŋ 'daɡaŋ ʔaka'laj 'ʔaso
sa'baj 'silaŋ naɡʔumpi'sa,sa'baj si'laŋ naɡʔumpi'sa
hu'aɡ na hu'aɡ ka'joŋ maɡla'ɾoʔ sa da'ʔan,hu'aɡ na hu'aɡ ka'joŋ maɡla'ɾoʔ sa da'ʔan
ɡa'win mo na ʔaŋ tak'daŋʔaɾa'lin mo,ɡa'win mo na ʔaŋ tak'daŋʔa'ɾalin mo
na'huloɡ si 'tom,nahu'loɡ si 'tom
wa'laʔ ʔa'koŋ na'kita,wa'laʔ ʔa'koŋ na'kita
naki'lala ko si'a sa 'bahaj ni tom,naki'lala ko si'a sa 'bahaj ni 'tom
la'hat naŋ ka'sapiʔ naŋ 'klab ʔaj sumaŋ'ʔajon sa 'ʔakin,la'hat naŋ ka'sapiʔ naŋ 'klab ʔaj sumaŋ'ʔajon sa 'ʔakin
naɾin'di si'a sa ma'ŋa ba'litaʔ,naɾin'di si'a sa ma'ŋa ba'litaʔ
naɡlu'lutoʔ naŋ ʔalmu'sal ʔaŋ 'nanaj ko,naɡlu'lutoʔ naŋ ʔalmu'sal ʔaŋ 'nanaj ko
kumus'ta ka ma'buti na'man na'man,kumus'ta ka ma'buti na'man
wa'laʔ 'silaŋ 'kot͡ʃe,wa'laʔ si'laŋ 'kot͡ʃe
baba'jaɾan ni'a ʔaŋ la'hat,babaja'ɾan ni'a ʔaŋ la'hat
'ɡusto ki'taŋ tu'luŋan,ɡus'to ki'taŋ tu'luŋan
ʔi'to ʔaj hin'diʔ paŋu'ŋusap,ʔi'to ʔaj hin'diʔ paŋu'ŋusap
nawawa'laʔ ba ka'joŋ la'hat,nawa'walaʔ ba ka'joŋ la'hat
ɡus'to ko 'juŋ 'ʔaso mo,ɡus'to ko 'juŋ 'ʔaso mo
ɡa'ʔano ʔi'on ka'lawak,ɡa'ʔano ʔi'on ka'lawak
ʔa'lam 'koŋ ɡa'lit ka sa 'ʔakin,ʔa'lam 'koŋ ɡa'lit ka sa 'ʔakin
ɡus'to 'koŋ sa'bihin ni 'tom sa 'ʔakin ʔa'noŋ 'ʔibiɡ sa'bihin ni'a do'ʔon,ɡus'to 'koŋ sa'bihin ni 'tom sa 'ʔakin ʔa'noŋ 'ʔibiɡ sa'bihin ni'a do'ʔon
kuŋ hin'diʔ mo maɡa'waʔ ʔaŋ ɡus'to mo ɡinaɡa'waʔ mo ʔaŋ ʔa'noŋ 'kaja mo,kuŋ hin'diʔ mo maɡa'waʔ ʔaŋ ɡus'to mo ɡina'ɡawaʔ mo ʔaŋ ʔa'noŋ ka'jaʔ mo
naɡʔuʔumpi'saŋ mamulak'lak sa taɡsi'bol,naɡʔuʔumpi'saŋ mamulak'lak sa taɡsi'bol
biɡ'jan mo ʔa'ko naŋ 'kopja naŋ ʔak'lat na ʔi'to,biɡ'jan mo ʔa'ko naŋ 'kopja naŋ ʔak'lat na ʔi'to
nakata'joʔ ka na ba naŋ ʔi'saŋ 'bahaj,nakata'joʔ ka na ba naŋ ʔi'saŋ 'bahaj
luma'lakad si 'tom,luma'lakad si 'tom
maɡhandaʔhan'daʔ ka na,maɡhanda'handaʔ ka na
ʔimpo'sibleŋ ma'tapos ko 'juŋ tɾa'baho sa lo'ʔob naŋ ʔi'saŋ 'ʔaɾaw,ʔimpo'sibleŋ ma'tapos ko 'juŋ tɾa'baho sa lo'ʔob naŋ ʔi'saŋ 'ʔaɾaw
maj ʔa'sukal ba,maj ʔa'sukal ba
pu'miliʔ ka sa ʔalin'maŋ 'bolpen na ʔi'to,pu'miliʔ ka sa ʔalin'maŋ 'bolpen na ʔi'to
maha'lin mo ʔaŋ ʔi'ba 'ɡaja naŋ paɡmama'hal mo sa sa'ɾili,ma'halin mo ʔaŋ ʔi'ba 'ɡaja naŋ paɡmama'hal mo sa sa'ɾili
wa'laʔ ʔa'koŋ pakiʔa'lam sa kan'ja,wa'laʔ ʔa'koŋ pakiʔa'lam sa kan'ja
ʔumu'soɡ ka,ʔumu'soɡ ka
kaʔi'laŋan 'koŋ maɡha'nap naŋ ʔa'paɾtment na maʔupa'han sa baɾse'lona,kaʔi'laŋan 'koŋ maɡha'nap naŋ ʔa'paɾtment na maʔupa'han sa baɾse'lona
ʔumu'poʔ ka,ʔumu'poʔ ka
ʔa'ko ʔaj koɾe'ano,ʔa'ko ʔaj koɾe'ano
pupun'ta ʔa'ko sa 'sine kuŋ maj 'ʔoɾas ʔa'ko,pu'punta ʔa'ko sa 'sine kuŋ maj 'ʔoɾas ʔa'ko
ʔu'muna ʔaŋ ka'bajo,ʔu'muna ʔaŋ ka'bajo
mamama'taj 'tajoŋ la'hat,mamama'taj 'tajoŋ la'hat
'mas mala'ki sa 'ʔakin si 'tom,'mas mala'ki sa 'ʔakin si 'tom
paʔu'litʔu'lit ʔaŋ tuɡ'toɡ naŋ 'musikaŋ ʔi'to,paʔu'litʔu'lit ʔaŋ tuɡ'toɡ naŋ 'musikaŋ ʔi'to
tumak'bo ka'mi sa 'paɾke,tumak'bo ka'mi sa 'paɾke
ʔina'ʔamin ko na ma'liʔ ʔa'ko,ʔina'ʔamin ko na ma'liʔ ʔa'ko
ku'muhaʔ si'a naŋ lib'ɾo sa ʔak'latan,ku'muhaʔ si'a naŋ lib'ɾo sa ʔak'latan
hin'diʔ pa ni'a bi'nasa ʔaŋ ʔak'lat,hin'diʔ pa ni'a bina'saʔ ʔaŋ ʔak'lat
kaʔi'lan inintɾo'djus ʔaŋ pa'tatas sa ha'pon,kaʔi'lan ʔinin'tɾodjus ʔaŋ pa'tatas sa ha'pon
tu'loɡ ʔaŋ ma'ŋa 'taʔo ka'paɡ 'silaj nabu'buhaj 'silaj ɡumi'ɡisiŋ ka'paɡ 'silaj nama'mataj,tu'loɡ ʔaŋ ma'ŋa 'taʔo ka'paɡ 'silaj nabu'buhaj 'silaj ɡumi'ɡisiŋ ka'paɡ 'silaj namama'taj
ma'ʔulap ba sa 'tokjo ka'hapon,ma'ʔulap ba sa 'tokjo ka'hapon
'ɡusto ko ʔi'to,ɡus'to ko ʔi'to
maɡda'la ka'jo naŋ 'tuloŋ,maɡda'la ka'jo naŋ 'tuloŋ
'sabi ni'ay ɡus'to ni'a naŋ ma'ŋa bulak'lak,'sabi ni'jaj ɡus'to ni'a naŋ ma'ŋa bulak'lak
maɡsali'taʔ ka naŋ mahin'hin,maɡsali'taʔ ka naŋ mahin'hin
kaj'ɾamiŋ ʔi'bat ʔi'baŋ 'taʔo sa ʔew'ɾopa,kaj'ɾamiŋ ʔi'bat ʔi'baŋ 'taʔo sa ʔew'ɾopa
ʔi'to ʔaŋ lu'ɡaɾ kuŋ sa'ʔan naɡa'nap ʔaŋ la'banan,ʔi'to ʔaŋ lu'ɡaɾ kuŋ sa'ʔan naɡa'nap ʔaŋ laba'nan
nataŋɡa'lan si 'tom sa tɾa'baho 'dahil sa paɡna'nakaw,nataŋɡa'lan si 'tom sa tɾa'baho 'dahil sa paɡna'nakaw
pupun'ta ʔa'ko sa simba'han,pu'punta ʔa'ko sa sim'bahan
'nasa ʔi'lalim naŋ sa'hiɡ ʔaŋ da'ɡaʔ,'nasa ʔi'lalim naŋ sa'hiɡ ʔaŋ da'ɡaʔ
tala'ɡaŋ ʔinteɾe'sado ʔa'ko sa pɾan'ses,tala'ɡaŋ ʔinteɾe'sado ʔa'ko sa pɾan'ses
naki'ta ko ʔaŋ hina'hanap ko,na'kita ko ʔaŋ hina'hanap ko
ka'bajo ko ʔi'to,ka'bajo ko ʔi'to
sina'sabi na ʔaɾ'tista ʔaŋ ba'baʔeŋ ʔi'on,sina'sabi na ʔaɾ'tista ʔaŋ ba'baʔeŋ ʔi'on
naʔaʔa'lala mo ba,naʔaʔa'lala mo ba
pahinta'jin si'a naŋ sanda'liʔ,pahinta'jin si'a naŋ sanda'liʔ
ku'maʔin na 'tajo,ku'maʔin na 'tajo
sa'ʔan ba ʔaŋ pinakamaɡan'daŋ lu'ɡaɾ sa mun'do,sa'ʔan ba ʔaŋ pinakamaɡan'daŋ lu'ɡaɾ sa mun'do
hawa'kan mo naŋ mahiɡ'pit ʔaŋ ɾa'keta,hawa'kan mo naŋ mahiɡ'pit ʔaŋ ɾa'keta
ma'ʔaɡa pa,ma'ʔaɡa pa
ʔa'kalaʔ koj hispa'niko ka hin'diʔ taɡaʔe'hipto ʔa'ko,ʔa'kalaʔ koj his'paniko ka hin'diʔ taɡaʔe'hipto ʔa'ko
'tataj ko ʔi'to,'tataj ko ʔi'to
ʔaŋ 'bahaj ʔaj hin'diʔ 'laŋ 'basta ɡu'saliʔ,ʔaŋ 'bahaj ʔaj hin'diʔ 'laŋ bas'ta ɡu'saliʔ
ʔaŋ hi'ɾap,ʔaŋ 'hiɾap
ʔaŋ 'dami 'koŋ tɾa'bahoŋ 'dapat ɡa'win,ʔaŋ 'dami 'koŋ tɾa'bahoŋ 'dapat ɡa'win
'naʔis 'koŋ ma'tutoʔ naŋ 't͡ʃino sa ˌsusu'nod na ta'ʔon,'naʔis 'koŋ ma'tuto naŋ 't͡ʃino sa ˌsusu'nod na ta'ʔon
'ʔiŋat ka,'ʔiŋat ka
mala'miɡ i'toŋ pa'deɾ,mala'miɡ i'toŋ pa'deɾ
ʔa'no ʔaŋ sinu'sulat mo,ʔa'no ʔaŋ sinu'sulat mo
maʔa'ʔaɾiŋ ɡu'mamit naŋ 'flaʃlajt 'ʔupaŋ maka'kita sa di'lim,ma'ʔaɾiŋ ɡu'mamit naŋ 'flaʃlajt 'ʔupaŋ maka'kita sa di'lim
si 'tom ʔat ʔaŋ kani'jaŋ kapa'tid ʔaj 'medjo maɡkaʔi'ba,si 'tom ʔat ʔaŋ ka'nijiaŋ kapa'tid ʔaj 'medjo maɡkaʔi'ba
'bakit ʔa'ko,'bakit ʔa'ko
la'hat ka'mij tuma'naw sa bin'tanaʔ,la'hat ka'mij tuma'naw sa bin'tanaʔ
hu'aɡ 'kaŋ maɡsali'taʔ tuŋ'kol sa pa'milja ko,hu'aɡ 'kaŋ maɡsali'taʔ tuŋ'kol sa pa'milja ko
sa'ʔan ka nanu'ʔod naŋ telebis'jon,sa'ʔan ka nanu'ʔod naŋ telebis'jon
maj luma'bas na ʔi'saŋ 'pusaʔ mu'laʔ sa ʔi'lalim naŋ 'mesa,maj luma'bas na ʔi'saŋ 'pusaʔ mu'la sa ʔi'lalim naŋ 'mesa
hin'diʔ ko ʔa'lam,hin'diʔ ko ʔa'lam
maɡʔi'sa si 'tom sa bi'eɾnes naŋ ɡa'bi,maɡʔi'sa si 'tom sa bi'eɾnes naŋ ɡa'bi
ʔi'to ʔaŋ 'supot ko,ʔi'to ʔaŋ 'supot ko
si'la ʔaj naɡʔaʔa'laɡaʔ naŋ ma'ŋa bulak'lak sa haɾ'din,si'la ʔaj naɡʔaʔa'laɡaʔ naŋ ma'ŋa bulak'lak sa haɾ'din
'sinoŋ 'ɡusto naŋ ma'ʔinit na t͡ʃoko'late,'sinoŋ ɡus'to naŋ ma'ʔinit na t͡ʃoko'late
hu'aɡ 'natiŋ palipa'sin ʔaŋ paɡkakata'ʔoŋ ʔi'to,hu'aɡ 'natiŋ pali'pasin ʔaŋ paɡkakata'ʔoŋ ʔi'to
naɡkasi'pon si 'tom,naɡkasi'pon si 'tom
saŋ'ʔajon si'a sa ma'ŋa maluŋku'tin na ʔi'on,saŋ'ʔajon si'a sa ma'ŋa maluŋku'tin na ʔi'on
ʔi'to ʔaŋ ʔa'nak 'koŋ la'laki,ʔi'to ʔaŋ ʔa'nak 'koŋ la'laki
wa'laʔ pa si'jaŋ kasa'najan sa tɾa'bahoŋ ʔi'to,wa'laʔ pa si'aŋ kasana'jan sa tɾa'bahoŋ ʔi'to
ma'hinaʔ si 'tom sa 'wikaŋ pɾan'ses,ma'hinaʔ si 'tom sa 'wikaŋ pɾan'ses
maj taj'ŋa ʔaŋ diŋ'diŋ maj ma'ta ʔaŋ ʃo'd͡ʒi,maj taj'ŋa ʔaŋ diŋ'diŋ maj ma'ta ʔaŋ 'ʃawd͡ʒi
tu'nawin ʔaŋ ʔa'sukal sa ma'ʔinit na 'tubiɡ,tu'nawin ʔaŋ ʔa'sukal sa ma'ʔinit na 'tubiɡ
ma'lapit ʔaŋ 'ʔamiŋ ˌpaʔaɾa'lan sa ʔistas'jon,ma'lapit ʔaŋ 'ʔamiŋ ˌpaʔaɾa'lan sa ʔistas'jon
ka'pe pa paki'ʔusap,ka'pe pa paki'ʔusap
nakakapaɡ'basa ʔa'ko naŋ ʔiŋ'ɡles,nakakapaɡba'sa ʔa'ko naŋ ʔiŋ'ɡles
majɾo'ʔon ʔa'koŋ takdaŋʔaɾa'lin,majɾo'ʔon ʔa'koŋ tak'daŋʔa'ɾalin
mata'ɡal na ki'taŋ hin'diʔ na'kita,mata'ɡal na ki'taŋ hin'diʔ na'kita
naɡmama'neho si 'tom,naɡmama'neho si 'tom
ɡa'ʔano kada'las mo si'aŋ naki'kita,ɡa'ʔano kada'las mo si'aŋ naki'kita
'ʔajaw ko sa ma'ŋa 'taʔoŋ tiniti'tiɡan ʔa'ko,'ʔajaw ko sa ma'ŋa 'taʔoŋ tiniti'tiɡan ʔa'ko
'ʔoʔo pa'ki 'ŋaʔ,'ʔoʔo pa'ki 'ŋaʔ
masa'ja ba ʔaŋ la'hat,masa'ja ba ʔaŋ la'hat
ʔaŋ ka'ʔawaj naŋ kaʔi'biɡan mo ʔaj kaʔi'biɡan mo,ʔaŋ ka'ʔawaj naŋ kaʔi'biɡan mo ʔaj kaʔi'biɡan mo
'kontiʔ 'laŋ ʔaŋ lib'ɾo 'koŋ ʔiŋ'ɡles,'kontiʔ 'laŋ ʔaŋ lib'ɾo 'koŋ ʔiŋ'ɡles
ʔi'toŋ lib'ɾo ʔaj tuŋ'kol sa ma'ŋa bitu'ʔin,ʔi'toŋ lib'ɾo ʔaj tuŋ'kol sa ma'ŋa bitu'ʔin
ʔaŋ ma'ŋa 'pɾutas ʔaj maj ma'ŋa 'butoʔ sa lo'ʔob,ʔaŋ ma'ŋa 'pɾutas ʔaj maj ma'ŋa bu'to sa lo'ʔob
ʔi'to ʔaŋ ma'ŋa 'taʔoŋ naka'kita sa paɡsa'boɡ,ʔi'to ʔaŋ ma'ŋa 'taʔoŋ naka'kita sa paɡsa'boɡ
ʔi'on ʔaŋ pinakamaɡa'liŋ na 'ʔaɾaw sa 'buhaj ko,ʔi'on ʔaŋ pinakamaɡa'liŋ na 'ʔaɾaw sa 'buhaj ko
ɡus'to mo,ɡus'to mo
ʔa'no sa ta'ɡaloɡ ʔaŋ 'windo,ʔa'no sa ta'ɡaloɡ ʔaŋ 'windo
hin'diʔ kapanipani'walaŋ 'kajaŋ puma'taj ni 'tom,hin'diʔ kapanipaniwa'laŋ 'kajaŋ puma'taj ni 'tom
wa'laŋ dahi'lan 'paɾa ma'takot,wa'laŋ dahi'lan 'paɾa ma'takot
kaʔi'laŋan 'koŋ ku'maʔin naŋ 'mas masus'tansia,kaʔi'laŋan 'koŋ ku'maʔin naŋ 'mas masus'tansia
kaʔun'tiʔ na 'laŋ ʔaŋ kaʔi'laŋaŋ ɡa'win,kaʔun'tiʔ na 'laŋ ʔaŋ kaʔi'laŋaŋ ɡa'win
kumukulim'lim na sa la'bas,kumukulim'lim na sa la'bas
si to'mas ʔaj maj 'bahaj na di mas'jadoŋ ma'lajoʔ 'ɾito,si to'mas ʔaj maj 'bahaj na diʔ mas'jadoŋ ma'lajo 'ɾito
ʔi'on 'lamaŋ ʔaŋ ɡus'to 'koŋ ɡa'win,ʔi'on 'lamaŋ ʔaŋ ɡus'to 'koŋ ɡa'win
nawa'laʔ ʔaŋ la'laki sa kaɡu'batan,nawa'laʔ ʔaŋ la'laki sa kaɡu'batan
ʔi'lan ka'jo tat'lo ka'mi,ʔi'lan ka'jo tat'lo ka'mi
ɡa'ʔano kata'ɡal 'balak moŋ mana'tili sa 'puloŋ ʔi'to,ɡa'ʔano kata'ɡal 'balak moŋ mana'tili sa 'puloŋ ʔi'to
'meɾon ʔa'koŋ na'ʔisip,'meɾon ʔa'koŋ na'ʔisip
ma'lapit naŋ maɡha'punan,ma'lapit naŋ maɡha'punan
nawa'laʔ naŋ mali'ʔit na 'bataŋ la'laki ʔaŋ 'peɾa na bi'ɡaj naŋ ka'njaŋ 'tataj,nawa'laʔ naŋ mali'ʔit na 'bataŋ la'laki ʔaŋ 'peɾa na bi'ɡaj naŋ ka'njaŋ 'tataj
'mas ma'hiɾap ba ʔaŋ ʔiŋ'ɡles kaj'sa sa ha'pon,'mas ma'hiɾap ba ʔaŋ ʔiŋ'ɡles kaj'sa sa 'hapon
ʔa'noŋ 'ʔiŋaj ʔi'on,ʔa'noŋ 'ʔiŋaj ʔi'on
bu'maŋon ka'mi naŋ mada'liŋ'ʔaɾaw,bu'maŋon ka'mi naŋ madaliŋ'ʔaɾaw
ma'hiliɡ maɡla'ɾoʔ naŋ 'tenis ʔaŋ ba'baʔe,ma'hiliɡ maɡla'ɾoʔ naŋ 'tenis ʔaŋ ba'baʔe
ʔipaɡbibi'li mo ba sa 'ʔakin ʔaŋ 'ʔawto mo,ʔipaɡbibi'li mo ba sa 'ʔakin ʔaŋ 'ʔawto mo
hin'diʔ ko kinaʔi'laŋaŋ maɡdi'liɡ naŋ ma'ŋa bulak'lak kata'tapos ko 'lamaŋ ʔaj biɡ'laŋ ʔumu'lan,hin'diʔ ko kinaʔi'laŋaŋ maɡdi'liɡ naŋ ma'ŋa bulak'lak kata'tapos ko 'lamaŋ ʔaj biɡ'laŋ ʔumu'lan
ʔa'noŋ hin'diʔ pumapa'taj sa ʔi'o ʔaj si'aŋ naɡpapala'kas sa ʔi'o,ʔa'noŋ hin'diʔ pumapa'taj sa ʔi'o ʔaj si'aŋ naɡpapa'lakas sa ʔi'o
sinu'bukan 'namiŋ maʔunawa'ʔan ʔaŋ ma'ŋa 'letɾa sa diŋ'diŋ,sinu'bukan 'namiŋ maʔunawa'ʔan ʔaŋ ma'ŋa 'letɾa sa diŋ'diŋ
paŋiŋis'daʔ ʔaŋ li'baŋaŋ pabo'ɾito ko,paŋiŋis'daʔ ʔaŋ li'baŋaŋ pabo'ɾito ko
si'a ʔaj maj mati'tibaj na bu'to ʔat 'ŋipin,si'a ʔaj maj mati'tibaj na bu'to ʔat 'ŋipin
hin'diʔ si 'tom ʔaŋ ɡuma'waʔ no'ʔon,hin'diʔ si 'tom ʔaŋ ɡuma'waʔ no'ʔon
nasa'ʔan ʔaŋ kapa'tid 'koŋ la'laki,nasa'ʔan ʔaŋ kapa'tid 'koŋ la'laki
'ʔakin ʔaŋ 'bahaj ʔat 'lupaŋ ʔi'to,'ʔakin ʔaŋ 'bahaj ʔat 'lupaŋ ʔi'to
naɡla'ɾoʔ si'a naŋ 'tenis bu'ʔoŋ 'ʔaɾaw,naɡla'ɾoʔ si'a naŋ 'tenis bu'ʔoŋ 'ʔaɾaw
biɡ'jan mo ʔa'ko naŋ ʔi'saŋ dol'jaɾ 'paɾa sa lib'ɾo,biɡ'jan mo ʔa'ko naŋ ʔi'saŋ dol'jaɾ 'paɾa sa lib'ɾo
